DispNum3,DispNum4_A,StDay_A,StMon_A,StYear_A,EndDay_A,EndMon_A,EndYear_A,Outcome,Settle,Fatality_A,FatalPre,MaxDur,MinDur,HiAct_A,HostLev_A,Recip,NumA,NumB,Link1,Link2,Link3,Ongo2010,Version_A,DispNum4_B,StAbb,ccode,StDay_B,StMon_B,StYear_B,EndDay_B,EndMon_B,EndYear_B,SideA,RevState,RevType1,RevType2,Fatality_B,FataPre,HiAct_B,HostLev_B,Orig,Version_B,Stalemate
26,nan,21.0,3,1948,25.0,7,1949,5.0,3.0,0.0,0.0,492,492,16,4,1,1,3,0,0,0.0,0,4.01,nan,FRN,220,21.0,3,1948,25.0,7,1949,0,0,0,nan,0.0,0.0,13,4,1,4.01,1
26,nan,21.0,3,1948,25.0,7,1949,5.0,3.0,0.0,0.0,492,492,16,4,1,1,3,0,0,0.0,0,4.01,nan,USR,365,21.0,3,1948,25.0,7,1949,1,1,1,nan,0.0,0.0,16,4,1,4.01,1
27,nan,25.0,7,1961,28.0,10,1961,5.0,3.0,0.0,0.0,96,96,17,4,1,4,4,0,0,0.0,0,4.01,nan,CZE,315,18.0,10,1961,28.0,10,1961,0,0,0,nan,0.0,0.0,7,3,0,4.01,1
27,nan,25.0,7,1961,28.0,10,1961,5.0,3.0,0.0,0.0,96,96,17,4,1,4,4,0,0,0.0,0,4.01,nan,POL,290,18.0,10,1961,28.0,10,1961,0,0,0,nan,0.0,0.0,7,3,0,4.01,1
27,nan,25.0,7,1961,28.0,10,1961,5.0,3.0,0.0,0.0,96,96,17,4,1,4,4,0,0,0.0,0,4.01,nan,UKG,200,13.0,8,1961,28.0,10,1961,1,0,0,nan,0.0,0.0,7,3,0,4.01,1
27,nan,25.0,7,1961,28.0,10,1961,5.0,3.0,0.0,0.0,96,96,17,4,1,4,4,0,0,0.0,0,4.01,nan,FRN,220,13.0,8,1961,28.0,10,1961,1,0,0,nan,0.0,0.0,7,3,0,4.01,1
27,nan,25.0,7,1961,28.0,10,1961,5.0,3.0,0.0,0.0,96,96,17,4,1,4,4,0,0,0.0,0,4.01,nan,USA,2,25.0,7,1961,28.0,10,1961,1,0,0,nan,0.0,0.0,10,3,1,4.01,1
27,nan,25.0,7,1961,28.0,10,1961,5.0,3.0,0.0,0.0,96,96,17,4,1,4,4,0,0,0.0,0,4.01,nan,GDR,265,13.0,8,1961,28.0,10,1961,0,1,2,nan,0.0,0.0,13,4,0,4.01,1
27,nan,25.0,7,1961,28.0,10,1961,5.0,3.0,0.0,0.0,96,96,17,4,1,4,4,0,0,0.0,0,4.01,nan,USR,365,25.0,7,1961,28.0,10,1961,0,1,2,nan,0.0,0.0,13,4,1,4.01,1
27,nan,25.0,7,1961,28.0,10,1961,5.0,3.0,0.0,0.0,96,96,17,4,1,4,4,0,0,0.0,0,4.01,nan,GFR,260,13.0,8,1961,28.0,10,1961,1,0,0,nan,0.0,0.0,17,4,0,4.01,1
28,nan,19.0,7,1961,5.0,9,1961,6.0,1.0,3.0,nan,49,49,17,4,1,1,1,0,0,0.0,0,4.01,nan,FRN,220,19.0,7,1961,5.0,9,1961,0,0,0,nan,1.0,nan,17,4,1,4.01,0
28,nan,19.0,7,1961,5.0,9,1961,6.0,1.0,3.0,nan,49,49,17,4,1,1,1,0,0,0.0,0,4.01,nan,TUN,616,19.0,7,1961,5.0,9,1961,1,1,2,nan,3.0,nan,13,4,1,4.01,0
30,nan,6.0,10,1908,31.0,3,1909,3.0,1.0,nan,nan,177,177,17,4,1,1,1,0,0,0.0,0,4.01,nan,AUH,300,6.0,10,1908,31.0,3,1909,0,0,0,nan,nan,nan,17,4,1,4.01,0
30,nan,6.0,10,1908,31.0,3,1909,3.0,1.0,nan,nan,177,177,17,4,1,1,1,0,0,0.0,0,4.01,nan,YUG,345,6.0,10,1908,31.0,3,1909,1,1,1,nan,nan,nan,17,4,1,4.01,0
31,nan,30.0,5,1900,16.0,8,1900,1.0,2.0,6.0,nan,79,79,20,5,1,8,1,0,0,0.0,0,4.01,nan,AUH,300,30.0,5,1900,16.0,8,1900,1,0,0,nan,1.0,nan,16,4,1,4.01,0
31,nan,30.0,5,1900,16.0,8,1900,1.0,2.0,6.0,nan,79,79,20,5,1,8,1,0,0,0.0,0,4.01,nan,ITA,325,30.0,5,1900,16.0,8,1900,1,0,0,nan,1.0,nan,16,4,1,4.01,0
31,nan,30.0,5,1900,16.0,8,1900,1.0,2.0,6.0,nan,79,79,20,5,1,8,1,0,0,0.0,0,4.01,nan,GMY,255,30.0,5,1900,16.0,8,1900,1,0,0,nan,2.0,nan,16,4,1,4.01,0
31,nan,30.0,5,1900,16.0,8,1900,1.0,2.0,6.0,nan,79,79,20,5,1,8,1,0,0,0.0,0,4.01,nan,USA,2,30.0,5,1900,16.0,8,1900,1,0,0,nan,2.0,nan,20,5,1,4.01,0
31,nan,30.0,5,1900,16.0,8,1900,1.0,2.0,6.0,nan,79,79,20,5,1,8,1,0,0,0.0,0,4.01,nan,UKG,200,30.0,5,1900,16.0,8,1900,1,1,2,nan,2.0,nan,20,5,1,4.01,0
31,nan,30.0,5,1900,16.0,8,1900,1.0,2.0,6.0,nan,79,79,20,5,1,8,1,0,0,0.0,0,4.01,nan,FRN,220,30.0,5,1900,16.0,8,1900,1,0,0,nan,2.0,nan,20,5,1,4.01,0
31,nan,30.0,5,1900,16.0,8,1900,1.0,2.0,6.0,nan,79,79,20,5,1,8,1,0,0,0.0,0,4.01,nan,USR,365,30.0,5,1900,16.0,8,1900,1,1,2,nan,4.0,nan,20,5,1,4.01,0
31,nan,30.0,5,1900,16.0,8,1900,1.0,2.0,6.0,nan,79,79,20,5,1,8,1,0,0,0.0,0,4.01,nan,JPN,740,30.0,5,1900,16.0,8,1900,1,1,2,nan,5.0,nan,20,5,1,4.01,0
31,nan,30.0,5,1900,16.0,8,1900,1.0,2.0,6.0,nan,79,79,20,5,1,8,1,0,0,0.0,0,4.01,nan,CHN,710,30.0,5,1900,16.0,8,1900,0,0,0,nan,6.0,nan,20,5,1,4.01,0
38,nan,29.0,12,1837,5.0,1,1838,5.0,3.0,0.0,0.0,8,8,16,4,1,1,1,0,0,0.0,0,4.01,nan,USA,2,29.0,12,1837,5.0,1,1838,0,0,0,nan,0.0,0.0,7,3,1,4.01,1
38,nan,29.0,12,1837,5.0,1,1838,5.0,3.0,0.0,0.0,8,8,16,4,1,1,1,0,0,0.0,0,4.01,nan,UKG,200,29.0,12,1837,5.0,1,1838,1,1,2,nan,0.0,0.0,16,4,1,4.01,1
40,nan,10.0,4,1928,18.0,11,1928,4.0,1.0,3.0,nan,223,223,17,4,1,1,1,0,0,0.0,0,4.01,nan,JPN,740,10.0,4,1928,18.0,11,1928,1,0,0,nan,1.0,nan,14,4,1,4.01,0
40,nan,10.0,4,1928,18.0,11,1928,4.0,1.0,3.0,nan,223,223,17,4,1,1,1,0,0,0.0,0,4.01,nan,CHN,710,10.0,4,1928,18.0,11,1928,0,0,0,nan,3.0,nan,17,4,1,4.01,0
43,nan,14.0,11,1897,6.0,3,1898,1.0,1.0,0.0,0.0,113,113,17,4,1,1,1,0,0,0.0,0,4.01,nan,GMY,255,14.0,11,1897,6.0,3,1898,1,1,2,nan,0.0,0.0,17,4,1,4.01,0
43,nan,14.0,11,1897,6.0,3,1898,1.0,1.0,0.0,0.0,113,113,17,4,1,1,1,0,0,0.0,0,4.01,nan,CHN,710,14.0,11,1897,6.0,3,1898,0,0,0,nan,0.0,0.0,17,4,1,4.01,0
50,nan,11.0,2,1953,19.0,1,1956,5.0,3.0,2.0,nan,1073,1073,17,4,1,3,2,0,0,0.0,0,4.01,nan,ROK,732,13.0,2,1953,13.0,2,1953,1,1,1,nan,0.0,0.0,1,2,0,4.01,1
50,nan,11.0,2,1953,19.0,1,1956,5.0,3.0,2.0,nan,1073,1073,17,4,1,3,2,0,0,0.0,0,4.01,nan,USR,365,4.0,8,1954,8.0,8,1954,0,1,1,nan,0.0,0.0,7,3,0,4.01,1
50,nan,11.0,2,1953,19.0,1,1956,5.0,3.0,2.0,nan,1073,1073,17,4,1,3,2,0,0,0.0,0,4.01,nan,USA,2,11.0,2,1953,19.0,1,1956,1,1,1,nan,0.0,0.0,7,3,1,4.01,1
50,nan,11.0,2,1953,19.0,1,1956,5.0,3.0,2.0,nan,1073,1073,17,4,1,3,2,0,0,0.0,0,4.01,nan,CHN,710,11.0,2,1953,19.0,1,1956,0,1,1,nan,2.0,nan,17,4,1,4.01,1
50,nan,11.0,2,1953,19.0,1,1956,5.0,3.0,2.0,nan,1073,1073,17,4,1,3,2,0,0,0.0,0,4.01,nan,TAW,713,11.0,2,1953,19.0,1,1956,1,1,1,nan,2.0,nan,17,4,1,4.01,1
51,nan,24.0,6,1950,27.0,7,1953,5.0,1.0,6.0,nan,1130,1130,20,5,1,2,15,0,0,0.0,0,4.01,nan,NEW,920,29.0,6,1950,27.0,7,1953,0,0,0,nan,0.0,0.0,20,5,0,4.01,1
51,nan,24.0,6,1950,27.0,7,1953,5.0,1.0,6.0,nan,1130,1130,20,5,1,2,15,0,0,0.0,0,4.01,nan,PHI,840,16.0,9,1950,27.0,7,1953,0,0,0,nan,2.0,nan,20,5,0,4.01,1
51,nan,24.0,6,1950,27.0,7,1953,5.0,1.0,6.0,nan,1130,1130,20,5,1,2,15,0,0,0.0,0,4.01,nan,NTH,210,20.0,1,1951,27.0,7,1953,0,0,0,nan,3.0,nan,20,5,0,4.01,1
