,DispNum3,DispNum4,StDay,StMon,StYear,EndDay,EndMon,EndYear,Outcome,Settle,Fatality,FatalPre,MaxDur,MinDur,HiAct,HostLev,Recip,NumA,NumB,Link1,Link2,Link3,Ongo2010,Version
118,199,,2.0,11,1961,21.0,11,1962,2.0,2.0,6.0,,385,385,20,5,1,1,1,0,0,0.0,0,4.01
119,200,,1.0,9,1955,6.0,11,1956,2.0,2.0,6.0,,433,433,20,5,1,2,4,0,0,0.0,0,4.01
120,202,,14.0,4,1883,9.0,6,1885,2.0,2.0,6.0,,788,788,20,5,1,1,1,0,0,0.0,0,4.01
121,203,,23.0,6,1959,31.0,10,1961,5.0,3.0,,,862,862,17,4,1,1,1,0,0,0.0,0,4.01
122,207,,,1,1858,8.0,6,1858,3.0,3.0,0.0,0.0,159,129,16,4,1,1,1,0,0,0.0,0,4.01
123,208,,10.0,3,1953,31.0,3,1953,5.0,3.0,1.0,,22,22,16,4,1,2,2,0,0,0.0,0,4.01
124,210,,28.0,7,1936,29.0,3,1939,1.0,2.0,6.0,,975,975,16,4,1,3,1,0,0,0.0,0,4.01
125,211,,2.0,4,1920,16.0,7,1920,2.0,2.0,0.0,0.0,106,106,14,4,1,1,2,0,0,0.0,0,4.01
126,212,,,2,1888,,3,1888,5.0,3.0,0.0,0.0,60,2,7,3,1,1,3,0,0,0.0,0,4.01
127,216,,,11,1836,,12,1836,7.0,1.0,0.0,0.0,61,2,15,4,0,1,1,0,0,0.0,0,4.01
128,217,,,8,1840,27.0,11,1840,5.0,3.0,0.0,0.0,119,89,7,3,0,1,4,0,0,0.0,0,4.01
129,220,,25.0,7,1870,5.0,10,1870,4.0,3.0,0.0,0.0,73,73,10,3,1,3,1,0,0,0.0,0,4.01
130,224,,4.0,11,1865,24.0,11,1865,4.0,3.0,0.0,0.0,21,21,7,3,0,3,1,0,0,0.0,0,4.01
131,225,,7.0,11,1861,26.0,12,1861,7.0,1.0,0.0,0.0,50,50,15,4,1,1,1,0,0,0.0,0,4.01
132,227,,13.0,3,1861,21.0,9,1861,3.0,3.0,2.0,,193,193,14,4,1,1,2,0,0,0.0,0,4.01
133,228,,,3,1881,,8,1881,3.0,3.0,0.0,0.0,184,124,7,3,1,1,1,0,0,0.0,0,4.01
134,230,,29.0,4,1919,13.0,3,1921,2.0,1.0,,,685,685,16,4,1,1,1,0,0,0.0,0,4.01
135,231,,26.0,4,1849,25.0,5,1849,4.0,2.0,0.0,0.0,30,30,16,4,0,1,1,0,0,0.0,0,4.01
136,235,,4.0,7,1940,7.0,7,1940,9.0,3.0,,,4,4,21,5,1,1,1,0,0,0.0,0,4.01
137,236,,6.0,10,1849,13.0,11,1849,5.0,3.0,0.0,0.0,39,39,7,3,1,3,1,0,0,0.0,0,4.01
138,237,,28.0,12,1899,15.0,1,1900,7.0,1.0,0.0,0.0,19,19,15,4,0,1,1,0,0,0.0,0,4.01
139,238,,10.0,5,1913,14.0,5,1913,1.0,3.0,0.0,0.0,5,5,7,3,0,1,1,0,0,0.0,0,4.01
140,239,,22.0,7,1864,14.0,9,1864,1.0,3.0,,,55,55,16,4,1,4,1,0,0,0.0,0,4.01
141,241,,5.0,5,1923,11.0,6,1923,7.0,1.0,0.0,0.0,38,38,15,4,1,1,1,0,0,0.0,0,4.01
142,242,,21.0,10,1904,5.0,11,1904,3.0,1.0,0.0,0.0,16,16,16,4,1,1,1,0,0,0.0,0,4.01
143,246,,22.0,4,1960,26.0,4,1961,5.0,3.0,0.0,0.0,370,370,16,4,1,2,1,0,0,0.0,0,4.01
144,247,,,1,1905,,1,1905,4.0,1.0,0.0,0.0,31,1,7,3,0,1,1,0,0,0.0,0,4.01
145,248,,31.0,1,1932,13.0,2,1932,5.0,3.0,0.0,0.0,14,14,7,3,0,2,1,0,0,0.0,0,4.01
146,249,,,5,1910,,5,1910,5.0,3.0,0.0,0.0,31,1,7,3,0,1,1,0,0,0.0,0,4.01
147,251,,9.0,4,1965,9.0,4,1965,5.0,3.0,,,1,1,17,4,1,1,1,0,0,0.0,0,4.01
148,252,,4.0,12,1945,4.0,10,1946,5.0,3.0,0.0,0.0,305,305,10,3,1,1,2,0,0,0.0,0,4.01
149,253,,1.0,5,1960,18.0,7,1960,7.0,1.0,0.0,0.0,79,79,16,4,1,5,1,0,0,0.0,0,4.01
150,254,,23.0,7,1902,19.0,2,1903,6.0,1.0,,,212,212,16,4,1,3,2,0,0,0.0,0,4.01
151,256,,31.0,10,1873,10.0,11,1873,3.0,1.0,0.0,0.0,11,11,15,4,1,1,2,0,0,0.0,0,4.01
152,257,,23.0,7,1914,11.0,11,1918,2.0,2.0,6.0,,1573,1573,20,5,1,4,11,0,0,0.0,0,4.01
153,258,,25.0,3,1939,14.0,8,1945,1.0,2.0,6.0,,2335,2335,20,5,1,23,10,0,0,0.0,0,4.01
154,259,,3.0,6,1956,6.0,9,1958,1.0,3.0,,,826,826,17,4,1,1,1,0,0,0.0,0,4.01
155,260,,26.0,9,1914,25.0,5,1915,4.0,1.0,0.0,0.0,242,242,14,4,0,1,1,0,0,0.0,0,4.01
156,261,,3.0,4,1865,26.0,7,1866,2.0,2.0,6.0,,480,480,20,5,1,8,3,0,0,0.0,0,4.01
157,262,,5.0,9,1944,5.0,9,1944,1.0,1.0,0.0,0.0,1,1,18,4,0,1,1,258,0,0.0,0,4.01
158,266,,8.0,2,1958,17.0,6,1958,6.0,1.0,0.0,0.0,130,130,16,4,1,1,1,0,0,0.0,0,4.01
159,301,,,11,1835,,12,1835,3.0,1.0,0.0,0.0,61,2,8,3,1,1,1,0,0,0.0,0,4.01
160,304,,20.0,4,1854,22.0,11,1854,5.0,3.0,0.0,0.0,217,217,7,3,1,1,1,0,0,0.0,0,4.01
161,306,,17.0,9,1860,19.0,1,1861,,,0.0,0.0,125,125,7,3,0,1,1,0,0,0.0,0,4.01
162,307,,6.0,5,1877,13.0,6,1878,4.0,1.0,0.0,0.0,404,404,7,3,1,1,1,0,0,0.0,0,4.01
163,309,,25.0,3,1898,1.0,4,1898,4.0,1.0,0.0,0.0,8,8,7,3,0,1,1,0,0,0.0,0,4.01
164,310,,,10,1905,,12,1905,5.0,3.0,0.0,0.0,92,32,7,3,0,1,1,0,0,0.0,0,4.01
165,311,,2.0,4,1908,20.0,4,1908,4.0,1.0,0.0,0.0,19,19,7,3,0,1,1,0,0,0.0,0,4.01
166,312,,,11,1910,28.0,12,1910,7.0,1.0,0.0,0.0,58,29,15,4,1,1,1,0,0,0.0,0,4.01
167,313,,15.0,3,1910,14.0,10,1910,4.0,1.0,0.0,0.0,214,214,7,3,0,1,1,0,0,0.0,0,4.01
168,314,,2.0,10,1911,15.0,10,1911,6.0,1.0,0.0,0.0,14,14,7,3,0,1,1,0,0,0.0,0,4.01
169,315,,1.0,7,1911,11.0,10,1911,6.0,1.0,0.0,0.0,103,103,7,3,1,1,2,0,0,0.0,0,4.01
170,316,,16.0,1,1912,27.0,1,1912,7.0,3.0,0.0,0.0,12,12,15,4,1,1,1,0,0,0.0,0,4.01
171,317,,2.0,11,1912,31.0,3,1913,5.0,3.0,0.0,0.0,150,150,7,3,0,1,2,0,0,0.0,0,4.01
172,320,,25.0,8,1914,23.0,5,1915,9.0,3.0,0.0,0.0,272,272,21,5,1,1,3,0,0,0.0,0,4.01
173,321,,10.0,3,1916,5.0,2,1917,1.0,3.0,,,333,333,17,4,1,1,1,0,0,0.0,0,4.01
174,322,,13.0,5,1916,29.0,11,1916,1.0,2.0,,,201,201,14,4,0,1,1,0,0,0.0,0,4.01
175,323,,6.0,6,1916,27.0,6,1917,4.0,2.0,2.0,,387,387,17,4,1,2,1,0,0,0.0,0,4.01
176,324,,7.0,3,1915,29.0,6,1917,9.0,3.0,,,846,846,21,5,1,3,1,0,0,0.0,0,4.01
177,327,,16.0,3,1920,23.0,8,1920,5.0,3.0,0.0,0.0,161,161,14,4,0,3,1,0,0,0.0,0,4.01
178,328,,16.0,9,1922,24.0,7,1923,6.0,1.0,0.0,0.0,312,312,14,4,0,3,1,0,0,0.0,0,4.01
