,DispNum3,DispNum4_A,StDay_A,StMon_A,StYear_A,EndDay_A,EndMon_A,EndYear_A,Outcome,Settle,Fatality_A,FatalPre,MaxDur,MinDur,HiAct_A,HostLev_A,Recip,NumA,NumB,Link1,Link2,Link3,Ongo2010,Version_A,DispNum4_B,StAbb,ccode,StDay_B,StMon_B,StYear_B,EndDay_B,EndMon_B,EndYear_B,SideA,RevState,RevType1,RevType2,Fatality_B,FataPre,HiAct_B,HostLev_B,Orig,Version_B,Stalemate
72,64,-9.0,5.0,4,1826,6.0,10,1826,4.0,1.0,0.0,0.0,185,185,7,3,0,1,1,0,0,0.0,0,4.01,-9.0,TUR,640,5.0,4,1826,6.0,10,1826,0,0,0,-9.0,0.0,0.0,0,1,1,4.01,0
73,64,-9.0,5.0,4,1826,6.0,10,1826,4.0,1.0,0.0,0.0,185,185,7,3,0,1,1,0,0,0.0,0,4.01,-9.0,USR,365,5.0,4,1826,6.0,10,1826,1,1,2,-9.0,0.0,0.0,7,3,1,4.01,0
74,65,-9.0,1.0,7,1883,1.0,7,1883,4.0,1.0,0.0,0.0,1,1,1,2,0,1,1,0,0,0.0,0,4.01,-9.0,RUM,360,1.0,7,1883,1.0,7,1883,0,0,0,-9.0,0.0,0.0,0,1,1,4.01,0
75,65,-9.0,1.0,7,1883,1.0,7,1883,4.0,1.0,0.0,0.0,1,1,1,2,0,1,1,0,0,0.0,0,4.01,-9.0,AUH,300,1.0,7,1883,1.0,7,1883,1,1,1,-9.0,0.0,0.0,1,2,1,4.01,0
76,68,-9.0,-9.0,1,1900,9.0,2,1900,4.0,2.0,0.0,0.0,40,10,7,3,0,2,1,0,0,0.0,0,4.01,-9.0,DOM,42,-9.0,1,1900,9.0,2,1900,0,0,0,-9.0,0.0,0.0,0,1,1,4.01,0
77,68,-9.0,-9.0,1,1900,9.0,2,1900,4.0,2.0,0.0,0.0,40,10,7,3,0,2,1,0,0,0.0,0,4.01,-9.0,FRN,220,-9.0,1,1900,9.0,2,1900,1,0,0,-9.0,0.0,0.0,2,2,1,4.01,0
78,68,-9.0,-9.0,1,1900,9.0,2,1900,4.0,2.0,0.0,0.0,40,10,7,3,0,2,1,0,0,0.0,0,4.01,-9.0,USA,2,-9.0,1,1900,9.0,2,1900,1,0,0,-9.0,0.0,0.0,7,3,1,4.01,0
79,69,-9.0,25.0,3,1914,29.0,11,1916,1.0,2.0,0.0,0.0,981,981,16,4,0,1,1,0,0,0.0,0,4.01,-9.0,DOM,42,25.0,3,1914,29.0,11,1916,0,0,0,-9.0,0.0,0.0,0,1,1,4.01,0
80,69,-9.0,25.0,3,1914,29.0,11,1916,1.0,2.0,0.0,0.0,981,981,16,4,0,1,1,0,0,0.0,0,4.01,-9.0,USA,2,25.0,3,1914,29.0,11,1916,1,1,3,-9.0,0.0,0.0,16,4,1,4.01,0
81,71,-9.0,17.0,1,1850,27.0,4,1850,4.0,1.0,0.0,0.0,101,101,13,4,0,1,1,0,0,0.0,0,4.01,-9.0,GRC,350,17.0,1,1850,27.0,4,1850,0,0,0,-9.0,0.0,0.0,0,1,1,4.01,0
82,71,-9.0,17.0,1,1850,27.0,4,1850,4.0,1.0,0.0,0.0,101,101,13,4,0,1,1,0,0,0.0,0,4.01,-9.0,UKG,200,17.0,1,1850,27.0,4,1850,1,1,2,-9.0,0.0,0.0,13,4,1,4.01,0
83,72,-9.0,23.0,6,1934,23.0,6,1934,4.0,3.0,0.0,0.0,1,1,7,3,0,1,1,0,0,0.0,0,4.01,-9.0,ALB,339,23.0,6,1934,23.0,6,1934,0,0,0,-9.0,0.0,0.0,0,1,1,4.01,0
84,72,-9.0,23.0,6,1934,23.0,6,1934,4.0,3.0,0.0,0.0,1,1,7,3,0,1,1,0,0,0.0,0,4.01,-9.0,ITA,325,23.0,6,1934,23.0,6,1934,1,1,1,-9.0,0.0,0.0,7,3,1,4.01,0
85,77,-9.0,18.0,9,1898,4.0,11,1898,4.0,1.0,0.0,0.0,48,48,7,3,1,1,1,0,0,0.0,0,4.01,-9.0,UKG,200,18.0,9,1898,4.0,11,1898,1,1,1,-9.0,0.0,0.0,7,3,1,4.01,0
86,77,-9.0,18.0,9,1898,4.0,11,1898,4.0,1.0,0.0,0.0,48,48,7,3,1,1,1,0,0,0.0,0,4.01,-9.0,FRN,220,18.0,9,1898,4.0,11,1898,0,0,0,-9.0,0.0,0.0,7,3,1,4.01,0
87,86,-9.0,25.0,3,1907,23.0,3,1908,1.0,3.0,-9.0,-9.0,365,365,17,4,1,2,1,0,0,0.0,0,4.01,-9.0,SPN,230,8.0,8,1907,23.0,3,1908,1,0,0,-9.0,-9.0,-9.0,14,4,0,4.01,0
88,86,-9.0,25.0,3,1907,23.0,3,1908,1.0,3.0,-9.0,-9.0,365,365,17,4,1,2,1,0,0,0.0,0,4.01,-9.0,FRN,220,25.0,3,1907,23.0,3,1908,1,1,2,-9.0,-9.0,-9.0,14,4,1,4.01,0
89,86,-9.0,25.0,3,1907,23.0,3,1908,1.0,3.0,-9.0,-9.0,365,365,17,4,1,2,1,0,0,0.0,0,4.01,-9.0,MOR,600,25.0,3,1907,23.0,3,1908,0,0,0,-9.0,-9.0,-9.0,17,4,1,4.01,0
90,88,-9.0,6.0,7,1870,25.0,2,1871,2.0,2.0,6.0,-9.0,235,235,20,5,1,4,1,0,0,0.0,0,4.01,-9.0,GMY,255,6.0,7,1870,25.0,2,1871,0,1,4,-9.0,6.0,-9.0,20,5,1,4.01,0
91,88,-9.0,6.0,7,1870,25.0,2,1871,2.0,2.0,6.0,-9.0,235,235,20,5,1,4,1,0,0,0.0,0,4.01,-9.0,BAD,267,16.0,7,1870,22.0,11,1870,0,0,0,-9.0,6.0,-9.0,20,5,0,4.01,0
92,88,-9.0,6.0,7,1870,25.0,2,1871,2.0,2.0,6.0,-9.0,235,235,20,5,1,4,1,0,0,0.0,0,4.01,-9.0,FRN,220,6.0,7,1870,25.0,2,1871,1,0,0,-9.0,6.0,-9.0,20,5,1,4.01,0
93,88,-9.0,6.0,7,1870,25.0,2,1871,2.0,2.0,6.0,-9.0,235,235,20,5,1,4,1,0,0,0.0,0,4.01,-9.0,WRT,271,17.0,7,1870,22.0,11,1870,0,0,0,-9.0,6.0,-9.0,20,5,0,4.01,0
94,88,-9.0,6.0,7,1870,25.0,2,1871,2.0,2.0,6.0,-9.0,235,235,20,5,1,4,1,0,0,0.0,0,4.01,-9.0,BAV,245,16.0,7,1870,15.0,11,1870,0,0,0,-9.0,6.0,-9.0,20,5,0,4.01,0
95,89,-9.0,21.0,9,1822,13.0,11,1823,1.0,2.0,6.0,-9.0,419,419,20,5,1,4,1,0,0,0.0,0,4.01,-9.0,USR,365,6.0,1,1823,6.0,1,1823,1,0,0,-9.0,0.0,0.0,1,2,0,4.01,0
96,89,-9.0,21.0,9,1822,13.0,11,1823,1.0,2.0,6.0,-9.0,419,419,20,5,1,4,1,0,0,0.0,0,4.01,-9.0,GMY,255,6.0,1,1823,6.0,1,1823,1,0,0,-9.0,0.0,0.0,1,2,0,4.01,0
97,89,-9.0,21.0,9,1822,13.0,11,1823,1.0,2.0,6.0,-9.0,419,419,20,5,1,4,1,0,0,0.0,0,4.01,-9.0,AUH,300,6.0,1,1823,6.0,1,1823,1,0,0,-9.0,0.0,0.0,1,2,0,4.01,0
