,DispNum3,DispNum4,StAbb,ccode,StDay,StMon,StYear,EndDay,EndMon,EndYear,SideA,RevState,RevType1,RevType2,Fatality,FataPre,HiAct,HostLev,Orig,Version
3599,3055,,BNG,771,9.0,12,1983,10.0,6,1984,0,0,0,,1.0,,17,4,1,4.01
3600,3055,,IND,750,9.0,12,1983,10.0,6,1984,1,1,2,,1.0,,17,4,1,4.01
3601,3056,,ETH,530,19.0,11,1983,21.0,11,1983,1,1,2,,0.0,0.0,7,3,1,4.01
3602,3056,,SUD,625,19.0,11,1983,21.0,11,1983,0,0,0,,0.0,0.0,8,3,1,4.01
3603,3057,,GRC,350,4.0,11,1983,29.0,1,1985,0,0,0,,0.0,0.0,0,1,1,4.01
3604,3057,,IRQ,645,4.0,11,1983,29.0,1,1985,1,1,2,,0.0,0.0,16,4,1,4.01
3605,3058,,SLU,56,25.0,10,1983,1.0,11,1983,1,0,0,,0.0,0.0,17,4,0,4.01
3606,3058,,BAR,53,25.0,10,1983,1.0,11,1983,1,0,0,,0.0,0.0,17,4,0,4.01
3607,3058,,DMA,54,25.0,10,1983,1.0,11,1983,1,0,0,,0.0,0.0,17,4,0,4.01
3608,3058,,JAM,51,25.0,10,1983,1.0,11,1983,1,0,0,,0.0,0.0,17,4,0,4.01
3609,3058,,SVG,57,25.0,10,1983,1.0,11,1983,1,0,0,,0.0,0.0,17,4,0,4.01
3610,3058,,AAB,58,25.0,10,1983,1.0,11,1983,1,0,0,,0.0,0.0,17,4,0,4.01
3611,3058,,USA,2,21.0,10,1983,1.0,11,1983,1,1,3,,1.0,,14,4,1,4.01
3612,3058,,CUB,40,25.0,10,1983,1.0,11,1983,0,0,0,,2.0,,0,1,0,4.01
3613,3058,,GRN,55,21.0,10,1983,1.0,11,1983,0,0,0,,3.0,,17,4,1,4.01
3614,3059,,AFG,700,9.0,10,1983,10.0,10,1983,0,0,0,,0.0,0.0,0,1,1,4.01
3615,3059,,IRN,630,9.0,10,1983,10.0,10,1983,1,0,0,,0.0,0.0,7,3,1,4.01
3616,3060,,ZAI,490,1.0,10,1983,,1,1984,0,0,0,,,,17,4,1,4.01
3617,3060,,ZAM,551,1.0,10,1983,,1,1984,1,1,2,,,,17,4,1,4.01
3618,3062,,SYR,652,3.0,9,1983,1.0,4,1984,1,1,2,,,,17,4,1,4.01
3619,3062,,USA,2,3.0,9,1983,1.0,4,1984,0,0,0,,,,17,4,1,4.01
3620,3063,,ROK,732,1.0,9,1983,1.0,9,1983,0,0,0,,0.0,0.0,0,1,1,4.01
3621,3063,,USR,365,1.0,9,1983,1.0,9,1983,1,1,2,,0.0,0.0,16,4,1,4.01
3622,3064,,UKG,200,9.0,8,1983,9.0,8,1983,0,0,0,,0.0,0.0,0,1,1,4.01
3623,3064,,ARG,160,9.0,8,1983,9.0,8,1983,1,1,1,,0.0,0.0,7,3,1,4.01
3624,3065,,SUD,625,10.0,8,1983,10.0,8,1983,1,0,0,,0.0,0.0,7,3,0,4.01
3625,3065,,LIB,620,1.0,8,1983,10.0,8,1983,0,1,2,,0.0,0.0,7,3,1,4.01
3626,3065,,USA,2,1.0,8,1983,10.0,8,1983,1,1,2,,0.0,0.0,7,3,1,4.01
3627,3066,,NIG,475,29.0,4,1983,11.0,7,1983,0,0,0,,2.0,,17,4,1,4.01
3628,3066,,CHA,483,29.0,4,1983,11.0,7,1983,1,0,0,,4.0,,17,4,1,4.01
3629,3067,,USR,365,27.0,4,1983,8.0,5,1983,1,1,2,,0.0,0.0,7,3,1,4.01
3630,3067,,NOR,385,27.0,4,1983,8.0,5,1983,0,1,2,,0.0,0.0,15,4,1,4.01
3631,3068,,LIB,620,16.0,4,1983,30.0,4,1983,0,0,0,,0.0,0.0,0,1,1,4.01
3632,3068,,BRA,140,16.0,4,1983,30.0,4,1983,1,1,2,,0.0,0.0,15,4,1,4.01
3633,3070,,SAF,560,12.0,4,1983,17.0,10,1983,0,1,2,,0.0,0.0,16,4,1,4.01
3634,3070,,MZM,541,12.0,4,1983,17.0,10,1983,1,1,2,,1.0,,15,4,1,4.01
3635,3071,,IRN,630,26.0,2,1983,26.0,7,1983,0,1,2,,0.0,0.0,7,3,1,4.01
3636,3071,,USA,2,26.0,2,1983,26.0,7,1983,1,1,2,,0.0,0.0,16,4,1,4.01
3637,3072,,EGY,651,18.0,2,1983,20.0,2,1983,0,0,0,,0.0,0.0,7,3,0,4.01
3638,3072,,USA,2,17.0,2,1983,20.0,2,1983,0,0,0,,0.0,0.0,7,3,0,4.01
3639,3072,,LIB,620,16.0,2,1983,20.0,2,1983,1,1,2,,0.0,0.0,7,3,1,4.01
3640,3072,,SUD,625,16.0,2,1983,20.0,2,1983,0,0,0,,0.0,0.0,7,3,1,4.01
3641,3073,,LES,570,9.0,12,1982,27.0,3,1983,0,0,0,,0.0,0.0,0,1,1,4.01
3642,3073,,SAF,560,9.0,12,1982,27.0,3,1983,1,1,2,,0.0,0.0,16,4,1,4.01
3643,3074,,THI,800,29.0,12,1982,13.0,1,1983,0,0,0,,0.0,0.0,0,1,1,4.01
3644,3074,,MYA,775,29.0,12,1982,13.0,1,1983,1,1,2,,0.0,0.0,15,4,1,4.01
3645,3075,,MYA,775,1.0,2,1983,1.0,2,1983,0,0,0,,0.0,0.0,0,1,1,4.01
3646,3075,,THI,800,1.0,2,1983,1.0,2,1983,1,1,2,,0.0,0.0,7,3,1,4.01
3647,3076,,GHA,452,21.0,8,1982,29.0,10,1982,1,0,0,,,,16,4,1,4.01
3648,3076,,TOG,461,21.0,8,1982,29.0,10,1982,0,0,0,,,,16,4,1,4.01
3649,3077,,ARG,160,12.0,8,1982,12.0,8,1982,0,1,2,,0.0,0.0,0,1,1,4.01
3650,3077,,UKG,200,12.0,8,1982,12.0,8,1982,1,0,0,,0.0,0.0,16,4,1,4.01
3651,3078,,ROK,732,9.0,8,1982,9.0,8,1982,0,0,0,,0.0,0.0,0,1,1,4.01
3652,3078,,IRQ,645,9.0,8,1982,9.0,8,1982,1,1,2,,0.0,0.0,16,4,1,4.01
3653,3079,,GRC,350,9.0,8,1982,9.0,8,1982,0,0,0,,0.0,0.0,0,1,1,4.01
3654,3079,,IRQ,645,9.0,8,1982,9.0,8,1982,1,1,2,,0.0,0.0,16,4,1,4.01
3655,3081,,KUW,690,18.0,7,1982,18.0,7,1982,0,0,0,,0.0,0.0,0,1,1,4.01
3656,3081,,IRN,630,18.0,7,1982,18.0,7,1982,1,1,2,,0.0,0.0,1,2,1,4.01
3657,3082,,LAO,812,16.0,6,1982,17.0,6,1982,1,0,0,,,,16,4,1,4.01
3658,3082,,THI,800,16.0,6,1982,17.0,6,1982,0,0,0,,,,16,4,1,4.01
3659,3083,,PNG,910,26.0,5,1982,26.0,6,1982,0,0,0,,0.0,0.0,0,1,1,4.01
3660,3083,,INS,850,26.0,5,1982,26.0,6,1982,1,1,2,,0.0,0.0,16,4,1,4.01
3661,3084,,CHN,710,11.0,5,1982,11.0,5,1982,0,0,0,,0.0,0.0,0,1,1,4.01
3662,3084,,PHI,840,11.0,5,1982,11.0,5,1982,1,1,2,,0.0,0.0,1,2,1,4.01
3663,3085,,GUY,110,10.0,5,1982,5.0,9,1982,0,0,0,,0.0,0.0,0,1,1,4.01
3664,3085,,VEN,101,10.0,5,1982,5.0,9,1982,1,1,1,,0.0,0.0,16,4,1,4.01
3665,3086,,IRQ,645,13.0,4,1982,13.0,4,1982,0,0,0,,0.0,0.0,0,1,1,4.01
3666,3086,,SYR,652,13.0,4,1982,13.0,4,1982,1,1,2,,0.0,0.0,7,3,1,4.01
3667,3087,,IRN,630,5.0,4,1982,5.0,4,1982,0,0,0,,0.0,0.0,0,1,1,4.01
3668,3087,,AFG,700,5.0,4,1982,5.0,4,1982,1,1,2,,0.0,0.0,16,4,1,4.01
3669,3087,,USR,365,5.0,4,1982,5.0,4,1982,1,1,2,,0.0,0.0,16,4,1,4.01
3670,3088,,USA,2,3.0,3,1982,3.0,3,1982,0,0,0,,0.0,0.0,0,1,1,4.01
3671,3088,,LIB,620,3.0,3,1982,3.0,3,1982,1,1,2,,0.0,0.0,1,2,1,4.01
3672,3089,,ITA,325,24.0,2,1982,24.0,2,1982,0,0,0,,0.0,0.0,7,3,1,4.01
3673,3089,,USR,365,24.0,2,1982,24.0,2,1982,1,1,4,,0.0,0.0,12,3,1,4.01
3674,3090,,ZAM,551,28.0,2,1982,16.0,9,1982,0,0,0,,0.0,0.0,17,4,1,4.01
3675,3090,,ZAI,490,28.0,2,1982,16.0,9,1982,1,1,1,,1.0,,17,4,1,4.01
3676,3092,,SAU,670,9.0,11,1981,9.0,11,1981,0,0,0,,0.0,0.0,7,3,1,4.01
3677,3092,,ISR,666,9.0,11,1981,9.0,11,1981,1,0,0,,0.0,0.0,12,3,1,4.01
3678,3093,,USR,365,22.0,10,1981,6.0,11,1981,1,1,4,,0.0,0.0,7,3,1,4.01
3679,3093,,SWD,380,22.0,10,1981,6.0,11,1981,0,0,0,,1.0,,7,3,1,4.01
3680,3094,,MAA,435,19.0,10,1981,19.0,10,1981,0,0,0,,0.0,0.0,0,1,1,4.01
3681,3094,,MOR,600,19.0,10,1981,19.0,10,1981,1,1,2,,0.0,0.0,12,3,1,4.01
